"genus","species","taxon"
"Blepharisma","Blepharisma lateritium f. minima","Ciliophora"
"Blepharisma","Blepharisma salinarum","Ciliophora"
"Blepharisma","Blepharisma steini","Ciliophora"
"Blepharisma","Blepharisma lateritium","Ciliophora"
"Blepharisma","Blepharisma tardum","Ciliophora"
"Blepharisma","Blepharisma undulans","Ciliophora"
"Blepharisma","Blepharisma vestitum","Ciliophora"
"Bursella","Bursella spumosa","Ciliophora"
"Caenomorpha","Caenomorpha levanderi","Ciliophora"
"Calyptotricha","Calyptotricha lanuginosa","Ciliophora"
"Carchesium","Carchesium gammari","Ciliophora"
"Carchesium","Carchesium jaerae","Ciliophora"
"Carchesium","Carchesium pectinatum","Ciliophora"
"Zoothamnium","Zoothamnium limneticum","Ciliophora"
"Zoothamnium","Zoothamnium pectinatum","Ciliophora"
"Carchesium","Carchesium polypinum","Ciliophora"
"Carchesium","Carchesium corymbosum","Ciliophora"
"Sertularia","Sertularia polypina","Ciliophora"
"Carchesium","Carchesium spectabile","Ciliophora"
"Carchesium","Carchesium lachmanni","Ciliophora"
"Carchesium","Carchesium steinii","Ciliophora"
"Epistylis","Epistylis steinii","Ciliophora"
"Cardiostomatella","Cardiostomatella mononucleata","Ciliophora"
"Cardiostomatella","Cardiostomatella vermiforme","Ciliophora"
"Caudiholosticha","Caudiholosticha setifera","Ciliophora"
"Holosticha","Holosticha setifera","Ciliophora"
"Holosticha","Holosticha obliqua","Ciliophora"
"Caudiholosticha","Caudiholosticha viridis","Ciliophora"
"Holosticha","Holosticha viridis","Ciliophora"
"Certesia","Certesia quadrinucleata","Ciliophora"
"Certesia","Certesia ovata","Ciliophora"
"Chaenea","Chaenea gigas","Ciliophora"
"Chaenea","Chaenea robusta","Ciliophora"
"Chaenea","Chaenea simulans","Ciliophora"
"Chaenea","Chaenea teres","Ciliophora"
"Chaenea","Chaenea elongata","Ciliophora"
"Chaenea","Chaenea limicola","Ciliophora"
"Enchelys","Enchelys stricta","Ciliophora"
"Chaenea","Chaenea vorax","Ciliophora"
"Lagynus","Lagynus elongatus","Ciliophora"
"Chilodonella","Chilodonella bavariensis","Ciliophora"
"Chilodonella","Chilodonella calkinsi","Ciliophora"
"Chilodonella","Chilodonella pediculatus","Ciliophora"
"Chlamydonellopsis","Chlamydonellopsis calkinsi","Ciliophora"
"Chilodonella","Chilodonella cyprini","Ciliophora"
"Chilodonella","Chilodonella helgolandica","Ciliophora"
"Chilodonella","Chilodonella nana","Ciliophora"
"Chilodonella","Chilodonella rigida","Ciliophora"
"Chilodonella","Chilodonella subtilis","Ciliophora"
"Chilodontopsis","Chilodontopsis caudata","Ciliophora"
"Chilodontopsis","Chilodontopsis depressa","Ciliophora"
"Chilodon","Chilodon depressus","Ciliophora"
"Chilodontopsis","Chilodontopsis elongata","Ciliophora"
"Chilodontopsis","Chilodontopsis oblonga","Ciliophora"
"Chilodontopsis","Chilodontopsis ovalis","Ciliophora"
